model,report,D_mm,T_mm,d_mm,t_mm,d_D,D_T,load_type,load_on,load_category,location,microstrain_1,microstrain_2,microstrain_3,stress_trans,stress_long,stress_shear,sigma1_psi,sigma2_psi,sigma1_MPa,sigma2_MPa,SI_MPa
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-O-C-H,43,52,59,2386,2013,-95,2409,1990,16.61,13.721,2.889
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-O-C-J,38,58,65,2663,1939,-95,2675,1927,18.444,13.287,5.157
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-O-C-K*,34,61,0,1310,1419,817,2183,5,15.052,0.034,15.018
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-N-A,-177,232,240,10610,-2135,-95,10610,-2136,73.156,-14.728,87.884
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-N-B,42,220,230,9865,4228,-133,9868,4225,68.04,29.131,38.909
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-N-C,134,173,184,7707,6332,-139,7721,6318,53.236,43.563,9.673
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-N-0,153,125,138,5618,6276,-177,6320,5573,43.576,38.426,5.15
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-N-F,60,0,142,3046,2724,-1887,4779,992,32.951,6.84,26.111
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,N-G,37,36,49,1839,1664,-177,1949,15,13.438,0.103,13.335
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-N-H,38,39,57,2068,1747,-241,2197,1618,15.148,11.156,3.992
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-O-N-J*,114,115,130,5264,5001,-190,5363,4901,36.978,33.792,3.186
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,D-O-N-A,108,368,370,16100,8066,-32,16100,8066,111.01,55.615,55.395
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-O-N-D,-89,57,53,2532,-1921,57,2532,-1921,17.458,-13.245,30.703
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-O-N-E,-55,26,24,1157,-1307,19,1157,-1307,7.978,-9.012,16.99
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-0-N-F,33,17,16,695,1192,13,1193,695,8.226,4.792,3.434
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-O-N-G,61,39,35,1562,2308,51,2311,1558,15.934,10.742,5.192
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-O-N-H,56,39,38,1652,2163,13,2164,1651,14.921,11.384,3.537
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90C-A,-114,-29,0,-511,-3589,-399,-460,-3640,-3.172,-25.098,21.926
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90C-B,-135,-33,6,-457,-4186,-519,-387,-4257,-2.668,-29.352,26.684
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90C-C,-125,-31,9,-354,-3855,-538,-273,-3936,-1.882,-27.139,25.257
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90C-0,-96,-19,15,12,-2890,-450,80,-2958,0.552,-20.395,20.947
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90C-E,-70,-13,24,307,-2004,-494,408,-2105,2.813,-14.514,17.327
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90C-F,-10,10,39,1076,38,-393,1207,-94,8.322,-0.648,8.97
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90C-G,73,44,48,1935,2776,-57,2780,1931,19.168,13.314,5.854
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90C-H,98,54,43,2033,3547,146,3561,2020,24.553,13.928,10.625
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90C-J,86,42,35,1607,3077,95,3083,1601,21.257,11.039,10.218
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90C-K,74,31,25,1151,2569,89,2575,1145,17.755,7.895,9.86
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90C-L,82,-2,23,359,2574,-336,2624,309,18.092,2.131,15.961
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90C-A,93,105,102,4451,4130,38,4456,4125,30.724,28.442,2.282
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90C-B,122,115,124,5130,5203,-127,5298,5034,36.53,34.709,1.821
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90C-C,133,139,148,6151,5837,-120,6192,5796,42.694,39.963,2.731
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90C-D,114,147,162,6663,5420,-190,6692,5392,46.141,37.178,8.963
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90C-E,100,151,162,6783,5029,-152,6796,5016,46.858,34.585,12.273
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90C-F,65,139,134,5924,3716,63,5926,3714,40.86,25.608,15.252
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90C-G,40,102,84,4040,2409,247,4076,2373,28.104,16.362,11.742
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90C-H,31,57,45,2201,1601,165,2243,1559,15.465,10.749,4.716
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-*90C-J,38,18,15,679,1344,44,1347,676,9.288,4.661,4.627
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90C-K,48,12,13,511,1607,-13,1607,511,11.08,3.523,7.557
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90C-L,50,12,19,624,1698,-82,1704,617,11.749,4.254,7.495
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90N-A,-171,-3,12,396,-4999,-203,404,-5007,2.786,-34.523,37.309
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90N-B,-109,71,38,2512,-2525,437,2549,-2563,17.575,-17.672,35.247
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90N-C,-67,84,48,2967,-1120,475,3021,-1175,20.83,-8.102,28.932
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90N-0,-45,77,49,2828,-506,367,2868,-546,19.775,-3.765,23.54
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,W90N-E,-40,67,39,2373,-486,374,2421,-534,16.693,-3.682,20.375
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90N-F*,-55,-567,22,-11930,-5232,-7851,-46,-17129,-0.317,-118.104,117.787
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90N-G,-42,47,52,2208,-606,-70,2210,-608,15.238,-4.192,19.43
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90N-H,-42,48,33,1832,-705,209,1849,-722,12.749,-4.978,17.727
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90N-J,-38,66,40,2370,-415,336,2410,-455,16.617,-3.137,19.754
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90N-A,71,132,117,5394,3757,190,5416,3735,37.343,25.753,11.59
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90N-B,-6,133,124,5647,1509,127,5650,1505,38.957,10.377,28.58
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90N-C,-57,111,115,5033,-186,-63,5034,-187,34.709,-1.289,35.998
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90N-D,-79,88,97,4160,-1133,-114,4163,-1135,28.704,-7.826,36.53
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90N-E,-82,76,86,3651,-1357,-146,3655,-1361,25.201,-9.384,34.585
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90N-F,-56,70,77,3310,-689,-95,3312,-692,22.836,-4.771,27.607
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I-90N-G,-48,60,75,3018,-520,-203,3030,-532,20.892,-3.668,24.56
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0-90N-J,-33,52,60,2512,-244,-108,2516,-249,17.348,-1.717,19.065
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I120OA,-105,114,220,7468,-924,-1406,7698,-1153,53.078,-7.95,61.028
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I120C-B,-40,104,226,7292,976,-1621,7684,584,52.981,4.027,48.954
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I120C-C*,12,84,236,7015,2475,-2032,7792,1698,53.726,11.708,42.018
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I120C-0*,-10,17,161,3927,879,-1918,4853,-47,33.461,-0.324,33.785
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,U20C-E,19,25,126,3290,1543,-1349,4024,810,27.745,5.585,22.16
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I120C-G,76,35,44,1640,2773,-120,2785,1627,19.203,11.218,7.985
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I120C-H*,157,75,19,1905,5290,741,5445,1750,37.543,12.066,25.477
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I120C-J,14,21,11,695,636,127,795,535,5.482,3.689,1.793
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I120C-K,48,14,40,1127,1778,-348,1929,976,13.3,6.73,6.57
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I120C-L,48,63,22,1806,1996,545,2454,1348,16.92,9.294,7.626
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,A,167,346,247,12860,8876,1323,13260,8477,91.428,58.449,32.979
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0120C-B,95,288,198,10590,6028,1203,10890,5730,75.087,39.508,35.579
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0120OC,32,240,127,8049,3370,1507,8492,2926,58.552,20.175,38.377
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0120C-F,-24,181,-7,3859,445,2501,5180,-876,35.716,-6.04,41.756
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0120C-J,58,73,20,1983,2334,709,2889,1428,19.92,9.846,10.074
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0120C-K,60,64,27,1919,2372,494,2689,1602,18.541,11.046,7.495
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0120C-L,48,43,11,1127,1792,424,1999,921,13.783,6.35,7.433
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I120N-A,-247,-20,213,4512,-6060,-3115,5361,-6909,36.964,-47.638,84.602
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I120N-B,-85,99,206,6798,-498,-1418,7064,-764,48.706,-5.268,53.974
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I120N-C,15,161,174,7336,2643,-177,7343,2636,50.63,18.175,32.455
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I120N-D*,57,161,-51,2339,2427,2824,5207,-441,35.902,-3.041,38.943
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,*,50,84,86,3694,2619,-32,3695,2618,25.477,18.051,7.426
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I120N-G,0,30,56,1901,570,-342,1984,488,13.68,3.365,10.315
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I120N-H,-18,61,50,2464,197,152,2474,187,17.058,1.289,15.769
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,J,-15,61,57,2607,326,63,2609,324,17.989,2.234,15.755
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0120N-A,215,303,258,12110,10090,595,12270,9928,84.602,68.454,16.148
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0120N-B,15,256,162,9154,3188,1254,9406,2935,64.854,20.237,44.617
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0120N-D,-99,91,50,3201,-2019,545,3257,-2076,22.457,-14.314,36.771
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0120N-E,-81,50,32,1896,-1855,247,1912,-1871,13.183,-12.901,26.084
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0120N-F,-25,21,49,1573,-269,-380,1648,-345,11.363,-2.379,13.742
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0120N-G,-10,29,64,2046,315,-462,2163,199,14.914,1.372,13.542
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0120N-H,-4,37,68,2312,580,-424,2411,481,16.624,3.316,13.308
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0120N-J,-7,32,57,1971,378,-329,2037,312,14.045,2.151,11.894
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I150C-A,-243,198,262,10380,-4186,-861,10430,-4237,71.915,-29.214,101.129
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I150C-B,-79,188,241,9529,478,-709,9584,423,66.082,2.917,63.165
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I150C-C*,25,168,0,3669,1856,2241,5181,345,35.723,2.379,33.344
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,U50OD,82,149,186,7273,4648,-500,7365,4556,50.782,31.414,19.368
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I150C-E,0,125,152,6110,1833,-361,6140,1803,42.335,12.432,29.903
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I150C-F*,111,86,157,5225,4903,-950,6027,4101,41.556,28.276,13.28
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,U50OH,99,89,122,4518,4335,-437,4872,3980,33.592,27.442,6.15
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I150C-J,52,103,135,5175,3121,-437,5264,3032,36.295,20.906,15.389
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I150C-K,16,119,142,5716,2199,-310,5743,2172,39.598,14.976,24.622
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I150C-L,85,82,124,4418,3877,-557,4767,3528,32.868,24.326,8.542
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0150C-A,130,447,404,18550,9472,570,18590,9436,128.178,65.061,63.117
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0L50C-B,10,348,242,12970,4191,1412,13190,3969,90.945,27.366,63.579
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,Q150C-F,-89,88,0,2030,-2057,1171,2342,-2369,16.148,-16.334,32.482
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0150C-G,13,69,6,1636,890,836,2178,348,15.017,2.399,12.618
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0150C-H,44,30,28,2333,2012,696,2887,1458,19.906,10.053,9.853
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0150OJ,47,88,36,2664,2196,696,3165,1696,21.823,11.694,10.129
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0150C-L,56,104,56,3458,2720,640,3827,2350,26.387,16.203,10.184
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I150N-6,-26,133,286,9240,2002,-2026,9768,1474,67.35,10.163,57.187
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I150N-C,119,175,215,8444,6097,-526,8556,5985,58.994,41.267,17.727
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I150N-0,154,156,151,6567,6589,70,6649,6508,45.845,44.873,0.972
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I150N-E,137,123,100,4748,5530,310,5638,4640,38.874,31.993,6.881
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I150N-F*,31,56,52,2336,1642,44,2339,1639,16.127,11.301,4.826
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I150N-G,31,38,56,2033,1551,-241,2133,1451,14.707,10.005,4.702
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I150N-H,29,44,60,2255,1560,-222,2320,1496,15.996,10.315,5.681
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I1504-J,27,46,63,2362,1521,-222,2417,1466,16.665,10.108,6.557
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0150N-A,195,407,380,17070,10980,361,17090,10960,117.836,75.569,42.267
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0150N-B,9,308,209,11350,3677,1330,11580,3453,79.844,23.808,56.036
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0150N-C,-75,187,100,6401,-318,1159,6595,-512,45.473,-3.53,49.003
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0150N-0,-80,98,47,3274,-1427,690,3373,-1526,23.257,-10.522,33.779
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0150N-E,-47,50,24,1681,-907,342,1725,-952,11.894,-6.564,18.458
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0150N-F,24,26,33,1279,1097,-95,1320,1056,9.101,7.281,1.82
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0150N-G,45,41,54,2039,1966,-177,2184,1822,15.059,12.563,2.496
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0150N-H,38,45,58,2214,1819,-177,2282,1751,15.734,12.073,3.661
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0150N-J,30,46,56,2192,1556,-133,2218,1529,15.293,10.542,4.751
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I180C-A,-254,281,259,12150,-3981,285,12160,-3986,83.843,-27.483,111.326
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I180C-B,-66,247,228,10510,1184,260,10510,1177,72.466,8.115,64.351
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I180C-0,116,189,178,7924,5870,146,7935,5860,54.712,40.405,14.307
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I180C-E,134,159,148,6600,6000,139,6630,5969,45.714,41.156,4.558
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I180C-F,124,80,76,3290,4693,51,4695,3288,32.372,22.671,9.701
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I180OH,38,39,35,1587,1617,51,1655,1549,11.411,10.68,0.731
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I180OJ,21,61,41,2232,1311,266,2304,1240,15.886,8.55,7.336
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I180C-K,20,76,57,2892,1466,247,2933,1425,20.223,9.825,10.398
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I180C-L,24,57,44,2187,1383,165,2220,1351,15.307,9.315,5.992
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0180C-A,71,412,406,17900,7507,82,17900,7506,123.421,51.754,71.667
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0180C-B,-23,319,305,13730,3420,190,13730,3416,94.668,23.553,71.115
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0180C-C,-71,239,166,8977,555,962,9085,446,62.641,3.075,59.566
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0180C-D,-87,167,156,7208,-461,146,7211,-463,49.72,-3.192,52.912
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0180OE,-87,118,113,5172,-1072,63,5172,-1072,35.661,-7.391,43.052
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0180C-F,-20,46,57,2267,81,-146,2277,72,15.7,0.496,15.204
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0180C-G,34,44,48,1999,1626,-57,2007,1618,13.838,11.156,2.682
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0180OH,48,51,57,2319,2121,-70,2341,2099,16.141,14.473,1.668
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0180C-J,38,58,60,2549,1891,-25,2550,1890,17.582,13.032,4.55
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,0180C-L,23,52,54,2408,1421,-95,2417,1412,16.665,9.736,6.929
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I180N-A,-191,256,276,11890,-2179,-266,11890,-2184,81.982,-15.059,97.041
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,U80N-B,52,237,269,11070,4888,-424,11090,4859,76.466,33.503,42.963
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,I180N-C,154,189,218,8781,7253,-386,8873,7161,61.179,49.375,11.804
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,pressure,cylinder,pressure,U80N-D,166,140,159,6377,6888,-253,6992,6272,48.21,43.245,4.965
